[ 2026-06-10 12:45:30,525 ] 21 root - INFO - Initiate the data ingestion
[ 2026-06-10 12:45:34,129 ] 59 root - INFO - Performed train test split on the dataframe
[ 2026-06-10 12:45:34,129 ] 61 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-06-10 12:45:34,129 ] 69 root - INFO - Exporting train and test file path.
[ 2026-06-10 12:45:34,183 ] 78 root - INFO - Exported train and test file path.
[ 2026-06-10 12:45:34,183 ] 23 root - INFO - Data Initiation Completed
[ 2026-06-10 12:45:34,193 ] 29 root - INFO - Initiate the data Validation
[ 2026-06-10 12:45:34,231 ] 32 root - INFO - Required number of columns:2
[ 2026-06-10 12:45:34,231 ] 33 root - INFO - Data frame has columns:32
[ 2026-06-10 12:45:34,231 ] 32 root - INFO - Required number of columns:2
[ 2026-06-10 12:45:34,231 ] 33 root - INFO - Data frame has columns:32
[ 2026-06-10 12:45:34,401 ] 31 root - INFO - data Validation Completed
[ 2026-06-10 12:45:34,401 ] 36 root - INFO - data Transformation started
[ 2026-06-10 12:45:34,401 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-06-10 12:45:34,401 ] 65 root - INFO - Starting data transformation
[ 2026-06-10 12:45:34,433 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-06-10 12:45:34,435 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
